month,duration,previous,poutcome,emp.var.rate,euribor3m,nr.employed,price
2.0,286.0,0.0,0.0,1.4,4.959,5228.1,0
1.0,178.0,0.0,0.0,1.4,4.864,5228.1,0
3.0,103.0,0.0,0.0,1.4,4.963,5228.1,0
0.0,135.0,0.0,0.0,1.1,4.86,5191.0,0
0.0,418.0,0.0,0.0,-1.8,1.291,5099.1,0
0.0,211.0,0.0,0.0,-1.8,1.354,5099.1,0
0.0,596.0,0.0,0.0,1.1,4.857,5191.0,0
0.0,364.0,0.0,0.0,1.1,4.857,5191.0,0
2.0,176.0,0.0,0.0,1.4,4.962,5228.1,0
7.0,439.0,0.0,0.0,-1.8,1.538,5099.1,0
3.0,166.0,0.0,0.0,1.4,4.963,5228.1,0
1.0,409.0,0.0,0.0,1.4,4.864,5228.1,0
0.0,177.0,0.0,0.0,1.1,4.859,5191.0,0
3.0,279.0,2.0,2.0,-1.7,0.899,4991.6,1
8.0,111.0,0.0,0.0,-1.8,1.405,5099.1,0
7.0,431.0,1.0,1.0,-1.8,0.654,5008.7,0
4.0,270.0,1.0,2.0,-3.4,0.73,5017.5,1
2.0,72.0,0.0,0.0,1.4,4.962,5228.1,0
2.0,83.0,0.0,0.0,1.4,4.968,5228.1,0
0.0,180.0,0.0,0.0,1.1,4.856,5191.0,0
0.0,123.0,0.0,0.0,-1.8,1.27,5099.1,0
1.0,49.0,0.0,0.0,1.4,4.866,5228.1,0
2.0,122.0,0.0,0.0,1.4,4.961,5228.1,0
2.0,152.0,0.0,0.0,1.4,4.961,5228.1,0
3.0,220.0,0.0,0.0,1.4,4.963,5228.1,0
5.0,281.0,0.0,0.0,-1.1,1.028,4963.6,1
0.0,274.0,0.0,0.0,1.1,4.857,5191.0,0
0.0,180.0,0.0,0.0,-1.8,1.313,5099.1,0
3.0,185.0,0.0,0.0,-2.9,0.884,5076.2,1
3.0,163.0,0.0,0.0,-2.9,0.883,5076.2,0
5.0,436.0,0.0,0.0,-0.1,4.12,5195.8,0
8.0,504.0,0.0,0.0,-1.8,1.365,5099.1,1
7.0,96.0,0.0,0.0,-1.8,1.663,5099.1,0
2.0,559.0,0.0,0.0,1.4,4.96,5228.1,0
0.0,345.0,0.0,0.0,-1.8,1.266,5099.1,1
0.0,167.0,0.0,0.0,-1.8,1.244,5099.1,0
1.0,202.0,0.0,0.0,1.4,4.866,5228.1,0
0.0,438.0,0.0,0.0,-1.8,1.334,5099.1,0
0.0,186.0,0.0,0.0,1.1,4.855,5191.0,0
0.0,53.0,0.0,0.0,-1.8,1.25,5099.1,0
0.0,627.0,0.0,0.0,1.1,4.859,5191.0,0
7.0,77.0,0.0,0.0,-1.8,1.531,5099.1,0
5.0,259.0,0.0,0.0,-0.1,4.076,5195.8,0
5.0,90.0,0.0,0.0,-0.1,4.153,5195.8,0
1.0,886.0,0.0,0.0,1.4,4.959,5228.1,0
2.0,487.0,0.0,0.0,1.4,4.963,5228.1,0
0.0,391.0,0.0,0.0,1.1,4.86,5191.0,0
1.0,176.0,0.0,0.0,1.4,4.865,5228.1,0
